raw_row_number,date,time,location,district,service_area,subject_age,subject_race,subject_sex,type,arrest_made,contraband_found,frisk_performed,search_conducted,search_person,search_vehicle,raw_race,raw_individual_contraband,raw_vehicle_contraband
222430,1/28/2014,17:27:00,1600 BLOCK TASKER ST,17,173,38,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
353882,1/28/2014,17:30:00,3200 BLOCK N BROAD ST,39,392,63,black,female,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
234521,1/28/2014,17:30:00,5200 BLOCK FILBERT ST,19,192,63,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
156532,1/28/2014,17:30:00,6900 BLOCK WOODLAND AV,12,122,24,black,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
222429,1/28/2014,17:30:00,S 16TH ST / FITZWATER ST,17,171,19,white,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
353877,1/28/2014,17:30:00,WAYNE AV / MANHEIM ST,39,391,23,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
135243,1/28/2014,17:35:00,100 BLOCK BYBERRY RD,7,73,42,white,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
193907,1/28/2014,17:35:00,4200 BLOCK TORRESDALE AV,15,151,49,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
142111,1/28/2014,17:35:00,4600 BLOCK MEGARGEE ST,8,81,21,white,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
156530,1/28/2014,17:35:00,6100 BLOCK ELMWOOD AV,12,123,60,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
234522,1/28/2014,17:35:00,N 54TH ST / LANSDOWNE AV,19,192,57,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
311251,1/28/2014,17:35:00,SB DELAWARE EXPY / ARAMINGO AV,26,261,33,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
125722,1/28/2014,17:38:00,1200 BLOCK WALNUT ST,6,63,32,white,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
156531,1/28/2014,17:40:00,6700 BLOCK UPLAND ST,12,123,40,white,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
323861,1/28/2014,17:40:00,OGONTZ AV / CHURCH LA,35,353,23,black,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
222434,1/28/2014,17:40:00,S 24TH ST / REED ST,17,173,33,black,female,pedestrian,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Black - Non-Latino,FALSE,FALSE
125723,1/28/2014,17:43:00,N 09TH ST / MARKET ST,6,62,51,white,male,vehicular,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,White - Non-Latino,FALSE,TRUE
384150,1/28/2014,17:45:00,1000 BLOCK LEVICK ST,2,21,42,asian/pacific islander,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Asian,FALSE,FALSE
390769,1/28/2014,17:45:00,100 BLOCK S BROAD ST,6,63,65,white,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
147610,1/28/2014,17:45:00,1900 BLOCK FAIRMOUNT AVE,9,93,37,white,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
234523,1/28/2014,17:45:00,5300 BLOCK MARKET ST,19,192,52,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
214513,1/28/2014,17:45:00,N 48TH ST / ASPEN ST,16,162,37,white,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
147608,1/28/2014,17:46:00,2000 BLOCK FAIRMOUNT AV,9,93,61,black,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
353878,1/28/2014,17:48:00,3700 BLOCK N BROAD ST,39,392,28,other,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,American Indian,FALSE,FALSE
240550,1/28/2014,17:50:00,0 BLOCK S 60TH ST,18,181,42,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
240549,1/28/2014,17:50:00,0 BLOCK S 60TH ST,18,181,45,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
90427,1/28/2014,17:50:00,1900 BLOCK SCHLEY ST,1,12,23,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
353879,1/28/2014,17:50:00,300 BLOCK W COULTER ST,39,391,54,white,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
